INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
Amherst College,Amherst,MA,01002-5000,www.amherst.edu,https://npc.collegeboard.org/student/app/amherst,42.372459,-72.518493,0.138374425,32,1439,1792,1695,0.4191,0.1239,0.1311,0.1306,0.0033,0.0006,0.0452,0.096,0.0502,0.3893,0.1084,0.1049,0.0011,0.1084,0.0413,0.1717,0.5257,0.0785,0.1121,0.0024,0.0684,61544,0,61544,48526,48526,NULL,10500,0.8699,0.5173,0.4827,86.99
Johns Hopkins University,Baltimore,MD,21218-2688,www.jhu.edu,https://npc.collegeboard.org/student/app/jhu,39.32838,-76.620799,0.160797072,33,1439,6039,5278,0.4516,0.0533,0.1177,0.204,0.0008,0.0007,0.0465,0.1032,0.0222,0.4866,0.0708,0.2115,0.0048,0.066,0.0705,0,0.6787,0.0735,0.1501,0.0027,0.0246,61481,0,61481,47060,47060,NULL,16000,0.8669,0.4913,0.5087,86.69
Boston University,Boston,MA,2215,www.bu.edu,www.bu.edu/finaid/aid-basics/cost-of-education/net-price-calculator/,42.349581,-71.09984,0.345100572,29,1300,16457,17819,0.4564,0.0342,0.0971,0.1341,0.0007,0.001,0.0368,0.1859,0.0537,0.497,0.0336,0.1414,0.0037,0.0736,0.0934,0.1151,0.6046,0.0272,0.1101,0.003,0.0466,61396,0,61396,46664,46664,NULL,25000,0.7953,0.391,0.609,79.53
George Washington University,Washington,DC,20052,www.gwu.edu,undergraduate.admissions.gwu.edu/net-price-calculator,38.89865,-77.047871,0.437935917,29,1297,10433,8837,0.5835,0.0628,0.077,0.0995,0.0015,0.0011,0.0355,0.0945,0.0447,0.5537,0.073,0.1069,0.0052,0.0691,0.0648,0.0905,0.6323,0.0651,0.0971,0.0033,0.0468,61394,0,61394,48760,48760,NULL,23000,0.7237,0.442,0.558,72.37
Scripps College,Claremont,CA,91711-3905,www.scrippscollege.edu,https://npc.collegeboard.org/student/app/scrippscollege,34.103655,-117.711336,0.284049284,31,1360,962,787,0.4906,0.0322,0.0946,0.185,0.001,0.001,0.0634,0.0426,0.0894,0.4621,0.0401,0.1269,0.0111,0.0891,0.0318,0.1766,0.568,0.0267,0.1398,0.0064,0.0508,61370,0,61370,47378,47378,NULL,12500,0.8008,0,1,80.08
Rhode Island School of Design,Providence,RI,02903-2784,www.risd.edu,risd.studentaidcalculator.com/survey.aspx,41.825935,-71.407692,0.325894322,30,1254,2014,1829,0.3193,0.0209,0.0839,0.1792,0.0015,0.001,0.0387,0.2577,0.0978,0,0,0,0,0,0.1318,0.0984,0.5867,0.0268,0.1115,0.0027,0.0421,61352,0,61352,44594,44594,NULL,26598,0.6858,0.3332,0.6668,68.58
Vassar College,Poughkeepsie,NY,12604,www.vassar.edu,https://npc.collegeboard.org/student/app/vassar,41.685105,-73.894345,0.235354573,32,1403,2389,2400,0.5885,0.0557,0.1139,0.1105,0.0004,0,0.0578,0.0724,0.0008,0.6984,0.0547,0.1065,0.0033,0.0735,0.0404,0.0175,0.7479,0.0546,0.0879,0.0029,0.0488,61320,0,61320,49570,49570,NULL,15500,0.8777,0.4416,0.5584,87.77
Barnard College,New York,NY,10027-6598,www.barnard.edu,https://npc.collegeboard.org/student/app/barnard,40.809137,-73.964027,0.237667371,30,1343,2556,2285,0.5501,0.0657,0.1111,0.1432,0.0004,0.0004,0.052,0.0736,0.0035,0.6602,0.0433,0.1612,0.0017,0.0874,0.0337,0,0.6446,0.0486,0.214,0.0039,0.0551,61171,0,61171,46040,46040,NULL,15500,0.8177,0,1,81.77
Pepperdine University,Malibu,CA,90263,www.pepperdine.edu/,seaver.pepperdine.edu/admission/financial-aid/undergraduate/costs/default.htm,34.041912,-118.707677,0.354610725,28,1234,3434,3068,0.4496,0.0606,0.134,0.1302,0.0044,0.0029,0.0865,0.0888,0.0431,0,0,0,0,0,0.0698,0.133,0.5476,0.0694,0.0701,0.0124,0.0978,61164,0,61164,46692,46692,NULL,24000,0.7478,0.4089,0.5911,74.78
Vanderbilt University,Nashville,TN,37240,www.vanderbilt.edu,https://npc.collegeboard.org/student/app/vanderbilt,36.14443,-86.804875,0.130937055,33,1481,6818,5935,0.5826,0.0808,0.0805,0.1009,0.0031,0.0007,0.0485,0.0622,0.0406,0.5554,0.0855,0.0755,0.0053,0.0627,0.0268,0.065,0.7663,0.0477,0.0595,0.0024,0.0324,61112,0,61112,43838,43838,NULL,12000,0.8756,0.4993,0.5007,87.56
